Title,OST Track Name
Final Fantasy VIII Remastered,The Loser

Final Fantasy IX,Ukulele de Chocobo
Final Fantasy IX (PS3),Ukulele de Chocobo
Final Fantasy IX (PS4),Ukulele de Chocobo
Final Fantasy IX (Switch),Ukulele de Chocobo

Final Fantasy X,Chocobo Jam
Final Fantasy X International,Chocobo Jam
Final Fantasy X HD Remaster,Chocobo Jam

Final Fantasy X-2,Chocobo Jam (reuse)
Final Fantasy X-2 International,Chocobo Jam (reuse)
Final Fantasy X-2 HD Remaster,Chocobo Jam (reuse)

Final Fantasy XI,Choc-a-Bye Baby
Final Fantasy XI (Dash de Chocobo),Dash de Chocobo
Final Fantasy XI Rise of the Zilart,Choc-a-Bye Baby
Final Fantasy XI Chains of Promathia,Choc-a-Bye Baby
Final Fantasy XI Treasures of Aht Urhgan,Choc-a-Bye Baby
Final Fantasy XI Wings of the Goddess,Chocobo Jig
Final Fantasy XI Seekers of Adoulin,Chocobo Jig
Final Fantasy XI Rhapsodies of Vana'diel,Chocobo Jig

Final Fantasy XII,Giza Plains (Chocobo Theme – FFXII)
Final Fantasy XII International Zodiac Job System,Giza Plains (Chocobo Theme – FFXII)
Final Fantasy XII Revenant Wings,Chocobo Mambo
Final Fantasy XII The Zodiac Age,Giza Plains (Chocobo Theme – FFXII)

Final Fantasy XIII,Chocobos of Cocoon - Chasing Dreams
Final Fantasy XIII (Gran Pulse),Chocobos of Pulse
Final Fantasy XIII-2,Crazy Chocobo
Lightning Returns Final Fantasy XIII,Crazy Chocobo (reuse)

Final Fantasy XIV,Chocobo Theme (FFXIV)
Final Fantasy XIV A Realm Reborn,Chocobo Theme (FFXIV)
Final Fantasy XIV Heavensward,Chocobo Theme (FFXIV – HW arrangement)
Final Fantasy XIV Stormblood,Chocobo Theme (FFXIV – SB arrangement)
Final Fantasy XIV Stormblood (Fowl Fantasia),Fowl Fantasia
Final Fantasy XIV Shadowbringers,Chocobo Theme (FFXIV – ShB arrangement)
Final Fantasy XIV Shadowbringers (Feathered Friends),Feathered Friends
Final Fantasy XIV Endwalker,Chocobo Theme (FFXIV – EW arrangement)
Final Fantasy XIV Endwalker (Chocobo Keepers),Chocobo Keepers

Final Fantasy XV,Chocobo Theme (FFXV)
Final Fantasy XV Pocket Edition,Chocobo Theme (FFXV)
Final Fantasy XV Windows Edition,Chocobo Theme (FFXV)

Final Fantasy XVI,Ride! (Chocobo Theme – Ambrosia)

Final Fantasy Tactics,Chocobo Theme (FFT)
Final Fantasy Tactics War of the Lions,Chocobo Theme (FFT)

Final Fantasy Tactics Advance,Chocobo Theme (FTA)
Final Fantasy Tactics A2,Chocobo Theme (FTA2)

Final Fantasy Type-0,Chocobo Theme (Type-0)
Final Fantasy Type-0 HD,Chocobo Theme (Type-0)

World of Final Fantasy,Chocobo Theme (WOFF)
World of Final Fantasy Maxima,Chocobo Theme (WOFF)

Final Fantasy Crystal Chronicles,Chocobo Theme (CC)
Final Fantasy Crystal Chronicles Remastered,Chocobo Theme (CC)
Final Fantasy Crystal Chronicles Ring of Fates,Chocobo Theme (CC)
Final Fantasy Crystal Chronicles Echoes of Time,Chocobo Theme (CC)
Final Fantasy Crystal Chronicles The Crystal Bearers,Chocobo Theme (CC)

Final Fantasy Explorers,Chocobo Theme (Explorers)
Final Fantasy Explorers-Force,Chocobo Theme (Explorers)

Chocobo's Mysterious Dungeon,Chocobo's Theme
Chocobo's Mysterious Dungeon,Bossa de Chocobo
Chocobo's Mysterious Dungeon,Pop Up de Chocobo
Chocobo's Mysterious Dungeon,Dungeon de Chocobo

Chocobo's Dungeon 2,Chocobo's Theme
Chocobo's Dungeon 2,Bossa de Chocobo (arr.)
Chocobo's Dungeon 2,Pop Up de Chocobo (arr.)
Chocobo's Dungeon 2,Dungeon de Chocobo (arr.)

Chocobo's Dungeon Every Buddy!,Chocobo's Theme (Every Buddy! rearrangement)
Chocobo's Dungeon Every Buddy!,Chocobo's Happy Song
Chocobo's Dungeon Every Buddy!,Chocobo's Road

Chocobo Racing,Chocobo Racing Theme
Chocobo Racing,Chocobo Farm (Racing)
Chocobo Racing,Chocobo Circuit

Chocobo GP,Chocobo GP Theme
Chocobo GP,Chocobo GP – Course Theme (remix)

Final Fantasy Fables Chocobo Tales,Chocobo Theme (storybook)
Final Fantasy Fables Chocobo Tales 2,Chocobo Theme (storybook)

Dissidia Final Fantasy,Chocobo Theme (Dissidia)
Dissidia 012 Final Fantasy,Chocobo Theme (Dissidia)
Dissidia NT,Chocobo Theme (Dissidia)

Theatrhythm Final Fantasy,Chocobo Theme (Theatrhythm)
Theatrhythm Final Fantasy,Chocobo Medley (Theatrhythm)
Theatrhythm Curtain Call,Chocobo Theme (Theatrhythm)
Theatrhythm Curtain Call,Chocobo Medley (Theatrhythm)
Theatrhythm All-Star Carnival,Chocobo Theme (Theatrhythm)
Theatrhythm All-Star Carnival,Chocobo Medley (Theatrhythm)
Theatrhythm Final Bar Line,Chocobo Theme (Theatrhythm)
Theatrhythm Final Bar Line,Chocobo Medley (Theatrhythm)

Final Fantasy Record Keeper,Chocobo Theme (Classic)
Final Fantasy Brave Exvius,Chocobo Theme (Classic)
War of the Visions Final Fantasy Brave Exvius,Chocobo Theme (Classic)
Final Fantasy Dimensions,Chocobo Theme (Classic)
Final Fantasy Dimensions II,Chocobo Theme (Classic)
Mobius Final Fantasy,Chocobo Theme (Classic)
Final Fantasy All the Bravest,Chocobo Theme (Classic)
Final Fantasy Artniks,Chocobo Theme (Classic)
Final Fantasy Artniks Dive,Chocobo Theme (Classic)
Final Fantasy Airborne Brigade,Chocobo Theme (Classic)
Final Fantasy Pictlogica,Chocobo Theme (Classic)
Final Fantasy Awakening,Chocobo Theme (Classic)
Final Fantasy Mevius Arena,Chocobo Theme (Classic)

Final Fantasy Mystic Quest,None

Final Fantasy Heroes of Light,Chocobo Theme (Classic)

Final Fantasy Unlimited,Chocobo Theme (Anime)
Final Fantasy Unlimited with U,Chocobo Theme (Anime)

Final Fantasy Trading Card Game Online,Chocobo Theme (Classic)
Final Fantasy Pachislot,Chocobo Theme (Classic)
